PolicyNumber;Make;Sex;MaritalStatus;Age;VehicleCategory;VehiclePrice;Deductible;DriverRating;PastNumberOfClaims;AgeOfVehicle;AgentType;NumberOfCars;BasePolicy;FraudFound_P
44386;VW;Male;Married;69;Sedan;60000 to 69000;400;1;none;more than 7;External;1 vehicle;All Perils;0
20;Accura;Male;Married;52;Sedan;30000 to 39000;400;2;none;6 years;External;1 vehicle;Collision;0
34478;Toyota;Male;Married;61;Sedan;20000 to 29000;400;3;1;more than 7;External;3 to 4;Collision;0
20833;Dodge;Female;Married;70;Sport;30000 to 39000;400;2;1;7 years;External;2 vehicles;Liability;0
43356;Pontiac;Male;Married;52;Sport;20000 to 29000;400;4;2 to 4;7 years;External;1 vehicle;Liability;0
24197;Mazda;Male;Married;27;Sedan;20000 to 29000;400;4;2 to 4;6 years;External;1 vehicle;Collision;0
30984;Pontiac;Male;Single;30;Sedan;20000 to 29000;400;3;more than 4;7 years;External;2 vehicles;Collision;0
47861;Toyota;Male;Married;55;Sedan;20000 to 29000;400;3;2 to 4;6 years;External;2 vehicles;Collision;0
17502;Toyota;Male;Married;37;Sedan;20000 to 29000;400;4;none;7 years;External;1 vehicle;All Perils;0
29004;Pontiac;Male;Married;40;Sedan;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Collision;0
24672;Honda;Male;Married;26;Sedan;less than 20000;400;2;2 to 4;6 years;External;1 vehicle;Collision;1
33015;Mazda;Female;Married;52;Sedan;20000 to 29000;400;3;none;7 years;External;1 vehicle;All Perils;0
31427;Mazda;Male;Married;74;Sedan;30000 to 39000;400;3;2 to 4;more than 7;External;1 vehicle;Collision;0
9738;Toyota;Male;Married;65;Sedan;less than 20000;400;4;none;more than 7;External;1 vehicle;All Perils;0
35781;Honda;Male;Married;36;Sport;20000 to 29000;400;3;more than 4;more than 7;External;1 vehicle;Liability;0
22145;Chevrolet;Male;Married;76;Sedan;30000 to 39000;400;1;1;more than 7;External;1 vehicle;All Perils;0
11404;Pontiac;Male;Single;32;Sport;20000 to 29000;400;1;2 to 4;6 years;External;1 vehicle;Liability;0
5643;Honda;Male;Single;32;Sport;30000 to 39000;400;1;1;7 years;External;1 vehicle;Liability;0
28036;Pontiac;Male;Married;40;Sedan;more than 69000;400;2;1;5 years;External;1 vehicle;All Perils;1
6758;Honda;Male;Single;25;Sport;more than 69000;400;1;none;6 years;External;2 vehicles;Collision;0
39109;Mazda;Male;Married;29;Sedan;30000 to 39000;400;3;none;7 years;External;5 to 8;Collision;0
47974;Mazda;Male;Married;62;Sedan;less than 20000;400;4;1;7 years;External;1 vehicle;Collision;0
19373;Pontiac;Male;Married;62;Sedan;less than 20000;400;2;2 to 4;more than 7;External;1 vehicle;Collision;0
40023;Mazda;Female;Single;27;Sedan;20000 to 29000;400;1;more than 4;5 years;External;1 vehicle;Collision;0
41181;Honda;Male;Married;40;Sedan;30000 to 39000;400;3;2 to 4;more than 7;External;1 vehicle;Collision;1
32382;Pontiac;Male;Married;29;Sport;30000 to 39000;400;2;more than 4;6 years;External;1 vehicle;Liability;0
9623;Mazda;Male;Married;41;Sedan;20000 to 29000;400;3;1;more than 7;External;1 vehicle;All Perils;1
17857;Mazda;Male;Married;63;Sport;20000 to 29000;400;4;more than 4;6 years;External;1 vehicle;Liability;0
33026;Toyota;Male;Single;45;Sedan;20000 to 29000;400;4;1;7 years;External;1 vehicle;Collision;0
10353;Ford;Male;Married;47;Utility;more than 69000;400;1;none;more than 7;External;1 vehicle;Liability;0
20645;Honda;Male;Single;0;Sport;more than 69000;400;3;2 to 4;new;External;1 vehicle;Liability;0
6773;Pontiac;Female;Single;21;Sedan;less than 20000;400;2;none;4 years;External;1 vehicle;All Perils;0
39632;Pontiac;Female;Married;42;Sedan;20000 to 29000;400;2;none;5 years;External;1 vehicle;Collision;0
31228;Mazda;Female;Married;53;Sedan;more than 69000;700;3;none;more than 7;External;1 vehicle;All Perils;0
21690;Honda;Male;Married;38;Sport;30000 to 39000;400;2;2 to 4;7 years;External;1 vehicle;Liability;0
34080;Pontiac;Male;Married;34;Sedan;20000 to 29000;400;2;none;6 years;External;1 vehicle;Collision;0
46167;Accura;Male;Married;33;Sedan;30000 to 39000;400;3;1;6 years;External;1 vehicle;All Perils;0
34430;Toyota;Male;Married;44;Sport;20000 to 29000;400;3;2 to 4;7 years;External;1 vehicle;Liability;0
33397;Toyota;Female;Married;39;Sedan;less than 20000;400;1;none;more than 7;External;1 vehicle;Collision;0
11160;Toyota;Male;Married;46;Sport;20000 to 29000;400;2;2 to 4;more than 7;External;1 vehicle;Liability;0
25586;Toyota;Male;Married;41;Sedan;20000 to 29000;400;4;1;7 years;External;1 vehicle;All Perils;0
37252;Toyota;Male;Married;45;Sedan;20000 to 29000;400;2;2 to 4;more than 7;External;1 vehicle;Collision;0
39600;Accura;Male;Single;53;Sedan;20000 to 29000;400;3;more than 4;7 years;External;1 vehicle;All Perils;0
43592;Toyota;Male;Married;41;Sedan;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Collision;0
29347;Mazda;Male;Married;53;Sport;20000 to 29000;400;2;2 to 4;7 years;External;1 vehicle;Liability;0
2475;Accura;Male;Married;76;Sedan;30000 to 39000;400;2;1;more than 7;External;1 vehicle;All Perils;0
24557;Pontiac;Male;Married;45;Sport;less than 20000;400;3;2 to 4;7 years;External;1 vehicle;Liability;0
30671;Pontiac;Male;Married;44;Sport;30000 to 39000;400;4;2 to 4;7 years;External;1 vehicle;Liability;0
4861;Mazda;Female;Single;27;Sedan;30000 to 39000;400;4;none;3 years;External;1 vehicle;Collision;0
33440;Mazda;Male;Married;51;Sport;20000 to 29000;400;1;more than 4;more than 7;External;1 vehicle;Liability;0
23243;Toyota;Male;Married;37;Sedan;20000 to 29000;400;2;none;7 years;External;1 vehicle;All Perils;0
42717;Chevrolet;Male;Married;36;Sport;30000 to 39000;400;2;1;7 years;External;2 vehicles;Liability;0
44455;Pontiac;Male;Married;38;Utility;40000 to 59000;400;3;2 to 4;more than 7;External;1 vehicle;All Perils;1
48887;Pontiac;Male;Married;38;Sedan;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Collision;0
37478;Chevrolet;Male;Married;65;Sedan;20000 to 29000;400;3;1;more than 7;External;1 vehicle;All Perils;0
20435;Chevrolet;Male;Married;45;Sedan;40000 to 59000;400;2;1;7 years;External;1 vehicle;Collision;0
34900;Pontiac;Female;Married;36;Sedan;20000 to 29000;400;2;2 to 4;7 years;External;1 vehicle;All Perils;0
37546;Pontiac;Male;Single;48;Utility;more than 69000;400;3;more than 4;7 years;External;1 vehicle;All Perils;0
47692;Toyota;Male;Single;33;Sedan;20000 to 29000;400;2;1;6 years;External;1 vehicle;Collision;0
10975;Mazda;Female;Single;23;Sport;20000 to 29000;400;3;more than 4;5 years;External;1 vehicle;Liability;0
22020;Chevrolet;Male;Married;50;Sedan;more than 69000;400;3;1;more than 7;External;1 vehicle;Collision;0
6862;Toyota;Male;Married;47;Sport;30000 to 39000;400;1;more than 4;more than 7;External;1 vehicle;Liability;0
46281;Accura;Male;Single;45;Utility;more than 69000;400;3;none;7 years;External;1 vehicle;All Perils;0
43277;Mazda;Male;Single;32;Sport;more than 69000;400;1;2 to 4;6 years;External;1 vehicle;Liability;0
20114;Honda;Male;Married;57;Sedan;20000 to 29000;400;2;1;more than 7;External;1 vehicle;Collision;0
15811;Ford;Male;Married;64;Sedan;less than 20000;400;4;2 to 4;7 years;External;1 vehicle;All Perils;0
39630;Honda;Male;Married;58;Sedan;30000 to 39000;400;4;1;more than 7;External;1 vehicle;All Perils;0
3663;Toyota;Male;Married;46;Sport;20000 to 29000;400;4;2 to 4;more than 7;External;1 vehicle;Liability;0
23809;Honda;Male;Married;43;Sedan;30000 to 39000;400;3;1;more than 7;External;1 vehicle;All Perils;1
36427;Toyota;Male;Married;39;Sedan;20000 to 29000;400;3;2 to 4;more than 7;External;1 vehicle;Collision;0
27374;Honda;Male;Single;27;Sport;30000 to 39000;400;2;2 to 4;6 years;External;1 vehicle;Liability;0
46440;Chevrolet;Female;Married;35;Sedan;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;All Perils;1
41924;Honda;Male;Married;54;Sport;more than 69000;400;2;2 to 4;more than 7;External;1 vehicle;Collision;0
20502;Pontiac;Male;Married;35;Sport;20000 to 29000;400;1;2 to 4;6 years;External;1 vehicle;Liability;0
37853;Honda;Male;Married;51;Sport;more than 69000;400;2;1;more than 7;External;1 vehicle;Liability;0
35997;Pontiac;Male;Single;27;Sport;30000 to 39000;400;3;more than 4;7 years;External;1 vehicle;Liability;0
29803;Honda;Male;Married;72;Sedan;30000 to 39000;400;1;1;7 years;External;1 vehicle;All Perils;0
10037;Chevrolet;Male;Married;33;Sedan;30000 to 39000;400;2;more than 4;6 years;External;1 vehicle;Collision;0
34762;Honda;Male;Married;44;Sedan;20000 to 29000;400;3;2 to 4;more than 7;External;1 vehicle;Collision;0
41956;Toyota;Male;Single;31;Sedan;20000 to 29000;500;2;none;6 years;External;2 vehicles;All Perils;1
9959;Mazda;Male;Married;38;Sport;20000 to 29000;400;1;1;6 years;External;1 vehicle;Liability;0
33454;VW;Male;Married;47;Sport;more than 69000;400;2;2 to 4;more than 7;External;1 vehicle;Liability;0
43695;Pontiac;Male;Married;71;Sedan;20000 to 29000;400;4;2 to 4;7 years;External;1 vehicle;All Perils;0
37919;Honda;Male;Married;46;Sport;30000 to 39000;400;1;2 to 4;7 years;External;1 vehicle;Liability;0
1816;Toyota;Male;Married;33;Sport;30000 to 39000;400;2;more than 4;6 years;External;1 vehicle;Liability;0
47964;Mazda;Female;Single;29;Sport;30000 to 39000;400;3;1;5 years;External;1 vehicle;Liability;0
26359;Pontiac;Male;Single;30;Sedan;20000 to 29000;400;1;none;6 years;External;1 vehicle;All Perils;0
13010;BMW;Male;Single;21;Sedan;30000 to 39000;400;4;none;2 years;External;1 vehicle;Collision;0
24482;Pontiac;Male;Single;22;Sedan;20000 to 29000;400;2;1;3 years;External;1 vehicle;All Perils;0
28683;Accura;Male;Married;68;Utility;more than 69000;400;2;none;more than 7;External;1 vehicle;All Perils;1
11661;Pontiac;Male;Single;31;Sedan;less than 20000;400;3;none;7 years;External;1 vehicle;Collision;0
45348;Mazda;Male;Married;34;Sedan;20000 to 29000;400;3;none;7 years;External;1 vehicle;Collision;0
11772;Chevrolet;Male;Married;40;Utility;more than 69000;400;3;2 to 4;7 years;External;1 vehicle;Liability;0
28550;Saturn;Male;Married;46;Sedan;30000 to 39000;400;3;1;7 years;Internal;1 vehicle;Collision;0
48356;Pontiac;Male;Single;28;Sedan;30000 to 39000;400;3;none;6 years;External;1 vehicle;All Perils;1
6561;Toyota;Female;Married;31;Sedan;less than 20000;400;4;none;7 years;External;1 vehicle;All Perils;0
43945;Mazda;Male;Single;29;Sedan;less than 20000;400;4;2 to 4;7 years;External;1 vehicle;Collision;0
3818;Honda;Male;Single;0;Sport;more than 69000;400;1;more than 4;new;External;1 vehicle;Liability;0
30124;Accura;Male;Married;46;Sedan;20000 to 29000;400;2;none;more than 7;External;1 vehicle;All Perils;0
43110;Mazda;Male;Married;51;Sedan;20000 to 29000;400;3;more than 4;more than 7;External;1 vehicle;Collision;0
35261;Pontiac;Female;Single;31;Sport;20000 to 29000;400;2;none;5 years;External;1 vehicle;Liability;0
15626;Pontiac;Male;Married;32;Sedan;30000 to 39000;400;2;1;7 years;External;1 vehicle;Collision;1
8164;Honda;Male;Single;53;Sedan;20000 to 29000;400;1;1;more than 7;External;1 vehicle;All Perils;1
37334;Honda;Male;Married;40;Sedan;20000 to 29000;400;4;none;7 years;External;1 vehicle;Collision;0
4468;Mazda;Male;Married;70;Sedan;more than 69000;400;2;2 to 4;more than 7;External;1 vehicle;Collision;0
43876;Honda;Male;Married;31;Sedan;30000 to 39000;400;1;more than 4;7 years;External;1 vehicle;Collision;0
12043;Toyota;Male;Married;49;Sport;30000 to 39000;400;4;2 to 4;more than 7;External;1 vehicle;Liability;0
27712;Honda;Male;Married;51;Sedan;30000 to 39000;400;2;none;more than 7;External;1 vehicle;Collision;0
17153;Pontiac;Male;Married;28;Sport;more than 69000;400;1;1;5 years;External;2 vehicles;Liability;0
29231;VW;Female;Married;51;Sedan;40000 to 59000;400;1;1;more than 7;External;1 vehicle;Collision;0
42646;Honda;Male;Married;42;Sedan;20000 to 29000;400;3;2 to 4;7 years;External;1 vehicle;Collision;0
998;Ford;Male;Married;34;Sedan;20000 to 29000;400;3;1;6 years;External;2 vehicles;All Perils;0
16371;Chevrolet;Female;Married;33;Sport;20000 to 29000;400;3;none;5 years;External;1 vehicle;Liability;0
1654;Toyota;Female;Married;68;Sedan;20000 to 29000;400;1;none;more than 7;External;1 vehicle;All Perils;0
25803;Ford;Male;Single;37;Sport;40000 to 59000;400;3;2 to 4;more than 7;External;1 vehicle;Liability;0
17759;Pontiac;Female;Married;35;Sedan;20000 to 29000;400;1;2 to 4;6 years;External;1 vehicle;Collision;0
5409;Ford;Male;Married;41;Sedan;more than 69000;400;4;none;7 years;External;1 vehicle;All Perils;0
12742;Mazda;Male;Married;36;Sedan;less than 20000;400;2;none;more than 7;External;1 vehicle;All Perils;0
43551;Pontiac;Male;Married;53;Sport;20000 to 29000;400;4;none;more than 7;External;1 vehicle;Liability;0
29007;Mazda;Female;Married;27;Sedan;20000 to 29000;400;4;1;6 years;External;1 vehicle;All Perils;0
29141;Pontiac;Male;Married;32;Sedan;30000 to 39000;400;2;1;7 years;External;1 vehicle;Collision;0
14027;Accura;Male;Married;49;Sedan;30000 to 39000;400;3;2 to 4;7 years;External;1 vehicle;Collision;0
49119;Mazda;Male;Married;39;Sport;30000 to 39000;400;4;more than 4;7 years;External;1 vehicle;Liability;0
48020;Toyota;Female;Married;37;Sedan;20000 to 29000;400;4;none;5 years;External;1 vehicle;All Perils;0
28398;Mazda;Male;Single;34;Sedan;20000 to 29000;400;1;1;7 years;External;1 vehicle;Collision;0
18593;Pontiac;Male;Married;59;Sedan;less than 20000;400;3;none;more than 7;External;1 vehicle;All Perils;0
3533;Ford;Male;Single;35;Sport;more than 69000;400;1;1;6 years;External;1 vehicle;Liability;0
39866;VW;Female;Married;40;Sedan;more than 69000;400;1;1;6 years;External;1 vehicle;Collision;0
14694;Toyota;Female;Married;45;Sedan;20000 to 29000;400;2;1;6 years;External;2 vehicles;Collision;0
918;Mazda;Male;Married;49;Sedan;20000 to 29000;400;3;none;more than 7;External;1 vehicle;Collision;0
34858;Mazda;Male;Single;44;Sport;30000 to 39000;400;2;2 to 4;7 years;External;1 vehicle;Liability;0
9768;Pontiac;Female;Single;32;Sport;20000 to 29000;400;3;1;5 years;External;1 vehicle;Liability;1
22739;Accura;Male;Married;43;Sedan;40000 to 59000;400;3;1;7 years;External;1 vehicle;Collision;1
41018;Toyota;Male;Married;28;Sport;20000 to 29000;400;1;2 to 4;5 years;External;1 vehicle;Liability;0
28876;Ford;Male;Single;29;Sedan;60000 to 69000;400;1;1;7 years;External;1 vehicle;All Perils;0
41298;Honda;Male;Divorced;30;Sedan;30000 to 39000;400;1;2 to 4;6 years;External;1 vehicle;All Perils;1
44885;Accura;Male;Married;67;Utility;more than 69000;700;1;none;more than 7;External;1 vehicle;All Perils;0
24426;Mazda;Female;Married;50;Sedan;more than 69000;400;1;2 to 4;more than 7;External;1 vehicle;Collision;0
34470;Pontiac;Male;Married;28;Sedan;20000 to 29000;400;4;1;7 years;External;1 vehicle;Collision;0
1520;Pontiac;Male;Married;65;Sedan;20000 to 29000;400;3;none;more than 7;External;1 vehicle;Collision;0
17015;Honda;Male;Single;0;Sedan;more than 69000;400;2;none;new;External;1 vehicle;All Perils;0
38707;Toyota;Male;Married;33;Sedan;30000 to 39000;400;1;none;6 years;External;1 vehicle;Collision;0
46009;Accura;Male;Married;39;Sport;30000 to 39000;400;4;more than 4;7 years;External;1 vehicle;Liability;0
33545;Honda;Male;Married;34;Sedan;20000 to 29000;400;4;2 to 4;7 years;External;1 vehicle;Collision;0
22838;Pontiac;Female;Single;28;Sedan;less than 20000;400;3;none;6 years;External;1 vehicle;All Perils;0
44034;Mazda;Male;Married;65;Sedan;less than 20000;400;1;1;7 years;External;1 vehicle;Collision;0
16203;Dodge;Male;Single;0;Sedan;30000 to 39000;400;3;2 to 4;3 years;External;1 vehicle;All Perils;0
23721;Pontiac;Male;Single;28;Sedan;less than 20000;400;2;1;6 years;External;1 vehicle;Collision;0
18787;Honda;Male;Married;54;Sport;30000 to 39000;400;2;more than 4;more than 7;External;1 vehicle;Liability;0
10380;Mazda;Male;Married;58;Sedan;20000 to 29000;400;1;none;6 years;External;1 vehicle;Collision;0
31910;Honda;Male;Married;37;Sport;30000 to 39000;400;3;1;more than 7;External;1 vehicle;Liability;0
135;Honda;Male;Single;18;Sport;more than 69000;400;4;none;5 years;External;1 vehicle;Collision;1
26586;Chevrolet;Male;Married;59;Sedan;30000 to 39000;400;1;2 to 4;more than 7;External;1 vehicle;All Perils;0
23217;Chevrolet;Male;Married;35;Sedan;20000 to 29000;400;4;1;6 years;External;1 vehicle;Collision;0
22633;Honda;Male;Married;39;Sport;30000 to 39000;400;4;2 to 4;7 years;External;1 vehicle;Liability;0
22031;Honda;Male;Single;34;Sport;20000 to 29000;400;1;more than 4;6 years;External;1 vehicle;Liability;0
43735;Pontiac;Male;Single;40;Sedan;30000 to 39000;400;3;1;more than 7;External;1 vehicle;Collision;0
39282;Pontiac;Male;Married;34;Sedan;more than 69000;400;1;more than 4;6 years;External;1 vehicle;Collision;0
43956;Mazda;Male;Married;33;Sport;more than 69000;400;1;2 to 4;7 years;External;1 vehicle;Liability;0
11299;Mazda;Male;Married;33;Sport;more than 69000;400;4;none;7 years;External;1 vehicle;Collision;0
44400;Honda;Male;Married;40;Sedan;20000 to 29000;400;3;none;more than 7;External;1 vehicle;Collision;0
13609;Ford;Male;Married;43;Sedan;20000 to 29000;400;3;none;7 years;External;1 vehicle;All Perils;0
17936;Pontiac;Male;Single;38;Sedan;20000 to 29000;400;4;none;6 years;External;1 vehicle;Collision;0
37115;Honda;Male;Single;0;Sedan;more than 69000;400;4;none;new;External;1 vehicle;All Perils;0
19585;Accura;Male;Single;32;Sedan;30000 to 39000;400;3;1;6 years;External;1 vehicle;All Perils;0
29311;Mazda;Male;Married;74;Sport;20000 to 29000;700;2;none;more than 7;External;1 vehicle;Liability;0
515;Pontiac;Male;Married;27;Sport;20000 to 29000;400;1;2 to 4;6 years;External;1 vehicle;Liability;0
25447;Chevrolet;Male;Married;52;Sedan;more than 69000;400;4;more than 4;more than 7;External;1 vehicle;Collision;0
694;Pontiac;Male;Married;53;Sport;20000 to 29000;400;1;1;more than 7;External;1 vehicle;Liability;0
23684;Pontiac;Male;Single;31;Sport;20000 to 29000;400;2;2 to 4;7 years;External;1 vehicle;Liability;0
11974;Mazda;Male;Single;23;Sport;20000 to 29000;400;4;none;5 years;External;1 vehicle;Liability;0
12075;Accura;Male;Married;43;Sedan;more than 69000;400;1;1;7 years;External;1 vehicle;All Perils;0
32245;Pontiac;Male;Married;43;Sport;40000 to 59000;400;2;1;7 years;External;1 vehicle;Liability;0
13137;Ford;Male;Married;59;Sedan;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;All Perils;0
14785;Chevrolet;Male;Married;55;Sport;20000 to 29000;400;4;1;more than 7;External;1 vehicle;Liability;0
2329;Pontiac;Male;Single;33;Sport;30000 to 39000;700;1;more than 4;7 years;External;1 vehicle;Liability;0
571;Toyota;Male;Married;54;Sport;20000 to 29000;400;1;1;more than 7;External;1 vehicle;Liability;0
21042;VW;Male;Married;38;Sedan;40000 to 59000;400;4;1;more than 7;External;3 to 4;Collision;0
577;Honda;Male;Married;32;Sport;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Liability;0
4742;Dodge;Male;Married;38;Sedan;30000 to 39000;400;1;none;7 years;External;1 vehicle;Collision;0
27653;Toyota;Male;Married;72;Sport;20000 to 29000;400;1;2 to 4;more than 7;External;1 vehicle;Liability;0
30892;Mazda;Male;Married;37;Sedan;20000 to 29000;400;3;none;6 years;External;1 vehicle;All Perils;0
7136;Mazda;Male;Married;48;Sport;20000 to 29000;400;4;2 to 4;7 years;External;1 vehicle;Liability;0
41578;Toyota;Male;Single;28;Sport;30000 to 39000;400;4;2 to 4;6 years;External;1 vehicle;Liability;0
40645;Pontiac;Male;Married;41;Sedan;less than 20000;400;2;none;more than 7;External;1 vehicle;Collision;0
36220;VW;Male;Married;66;Sport;40000 to 59000;400;2;more than 4;more than 7;External;1 vehicle;Liability;0
2369;Honda;Male;Single;34;Sedan;20000 to 29000;400;3;1;7 years;External;1 vehicle;Collision;0
12800;Saab;Female;Married;33;Sedan;more than 69000;400;1;none;7 years;External;1 vehicle;Collision;0
18350;Pontiac;Male;Single;26;Sedan;less than 20000;400;1;2 to 4;7 years;External;1 vehicle;All Perils;0
20197;Ford;Male;Married;56;Sedan;60000 to 69000;400;1;2 to 4;more than 7;External;1 vehicle;All Perils;0
19876;Pontiac;Female;Single;23;Sedan;20000 to 29000;400;1;none;5 years;External;1 vehicle;All Perils;0
2168;Chevrolet;Male;Married;46;Sedan;20000 to 29000;400;3;1;more than 7;External;1 vehicle;All Perils;0
42505;Accura;Male;Married;55;Sedan;30000 to 39000;400;1;2 to 4;more than 7;External;1 vehicle;All Perils;1
30775;Pontiac;Female;Single;18;Sedan;20000 to 29000;400;2;none;4 years;External;1 vehicle;All Perils;0
18948;Mazda;Male;Single;45;Sedan;30000 to 39000;400;1;2 to 4;7 years;External;1 vehicle;All Perils;0
36037;Mazda;Male;Married;33;Sport;20000 to 29000;400;3;2 to 4;6 years;External;1 vehicle;Liability;0
19088;Toyota;Female;Single;24;Sedan;20000 to 29000;400;2;none;5 years;External;1 vehicle;All Perils;0
42344;Saturn;Male;Married;36;Sedan;20000 to 29000;400;3;1;5 years;External;1 vehicle;All Perils;0
1164;Toyota;Male;Married;51;Sedan;20000 to 29000;400;3;none;more than 7;External;1 vehicle;All Perils;0
28337;Toyota;Male;Single;32;Sport;20000 to 29000;400;1;more than 4;6 years;External;1 vehicle;Liability;0
1852;Toyota;Male;Married;48;Sedan;more than 69000;400;1;2 to 4;more than 7;External;1 vehicle;Collision;0
23974;Chevrolet;Male;Single;28;Sedan;30000 to 39000;400;2;none;7 years;External;1 vehicle;Collision;0
16597;Pontiac;Male;Married;61;Sedan;20000 to 29000;400;4;none;more than 7;External;1 vehicle;Collision;0
38016;Honda;Male;Married;45;Sport;20000 to 29000;400;4;more than 4;7 years;External;1 vehicle;Liability;0
21290;Honda;Female;Single;43;Sport;20000 to 29000;400;1;1;6 years;External;2 vehicles;Liability;0
44772;Mazda;Male;Single;59;Sedan;more than 69000;400;1;1;more than 7;External;1 vehicle;Collision;0
19584;Pontiac;Male;Married;42;Sedan;20000 to 29000;400;1;1;7 years;External;1 vehicle;All Perils;0
25434;Pontiac;Male;Married;49;Sedan;30000 to 39000;400;2;2 to 4;more than 7;Internal;1 vehicle;Collision;0
34554;Toyota;Male;Divorced;49;Sedan;20000 to 29000;400;3;none;more than 7;External;1 vehicle;All Perils;0
39403;Ford;Male;Married;54;Sport;30000 to 39000;400;4;2 to 4;more than 7;External;1 vehicle;Liability;0
11440;Mazda;Female;Married;22;Sedan;less than 20000;400;4;none;4 years;External;1 vehicle;All Perils;0
10171;Toyota;Male;Single;48;Sedan;30000 to 39000;400;2;none;more than 7;External;1 vehicle;Collision;0
41857;Honda;Male;Married;33;Sport;20000 to 29000;400;1;1;7 years;External;1 vehicle;Liability;0
13009;Toyota;Female;Single;23;Sedan;less than 20000;400;1;none;3 years;External;1 vehicle;All Perils;0
10527;Honda;Female;Single;26;Sedan;20000 to 29000;400;4;1;7 years;External;1 vehicle;All Perils;0
3161;Pontiac;Male;Single;39;Sport;20000 to 29000;500;4;2 to 4;6 years;External;1 vehicle;Liability;0
19709;Chevrolet;Male;Single;31;Sport;20000 to 29000;400;1;more than 4;7 years;External;1 vehicle;Liability;0
31179;Accura;Male;Married;29;Utility;more than 69000;400;3;2 to 4;7 years;External;1 vehicle;All Perils;1
26319;Pontiac;Male;Single;26;Sedan;30000 to 39000;400;2;1;6 years;External;1 vehicle;All Perils;0
1885;Toyota;Male;Single;29;Sport;20000 to 29000;400;1;2 to 4;6 years;External;1 vehicle;Liability;0
