Month;WeekOfMonth;DayOfWeek;AccidentArea;DayOfWeekClaimed;MonthClaimed;WeekOfMonthClaimed;PolicyNumber;Fault;RepNumber;Days_Policy_Accident;Days_Policy_Claim;PoliceReportFiled;WitnessPresent;NumberOfSuppliments;AddressChange_Claim;Year;FraudFound_P;Make;Sex;MaritalStatus;Age;VehicleCategory;VehiclePrice;Deductible;DriverRating;PastNumberOfClaims;AgeOfVehicle;AgentType;NumberOfCars;BasePolicy
Mar;4;Thursday;Urban;Friday;Mar;4;45779;Policy Holder;14;more than 30;more than 30;No;No;more than 5;no change;1995;1;Chevrolet;Male;Single;45;Sedan;30000 to 39000;400;2;2 to 4;7 years;External;1 vehicle;Collision
Jun;4;Saturday;Urban;Monday;Jun;4;16793;Policy Holder;16;more than 30;more than 30;No;No;more than 5;no change;1994;0;Toyota;Male;Married;27;Sedan;20000 to 29000;400;3;1;6 years;External;1 vehicle;Collision
Jul;4;Thursday;Urban;Monday;Aug;2;18939;Policy Holder;9;more than 30;more than 30;No;No;none;no change;1994;0;Honda;Male;Married;76;Sedan;less than 20000;400;1;none;6 years;External;1 vehicle;Collision
Jul;2;Tuesday;Urban;Thursday;Jul;2;43228;Policy Holder;16;more than 30;more than 30;No;No;more than 5;no change;1994;0;Chevrolet;Female;Single;36;Sport;20000 to 29000;400;1;none;7 years;External;1 vehicle;Liability
Jun;4;Saturday;Urban;Friday;Jul;3;17196;Policy Holder;6;more than 30;more than 30;No;No;none;no change;1994;0;Pontiac;Male;Married;53;Sedan;less than 20000;400;3;1;more than 7;External;1 vehicle;All Perils
Oct;2;Wednesday;Urban;Friday;Oct;3;1588;Third Party;11;more than 30;more than 30;No;No;none;no change;1994;0;Toyota;Female;Single;45;Sedan;20000 to 29000;400;1;none;more than 7;External;1 vehicle;Collision
Feb;1;Friday;Urban;Tuesday;Feb;2;915;Policy Holder;4;more than 30;more than 30;No;No;none;no change;1995;0;Mazda;Male;Married;78;Sport;20000 to 29000;400;4;2 to 4;more than 7;External;1 vehicle;Liability
Dec;3;Wednesday;Urban;Wednesday;Dec;3;28844;Policy Holder;6;more than 30;more than 30;No;No;none;no change;1994;0;Honda;Male;Married;51;Sport;20000 to 29000;400;2;1;more than 7;External;1 vehicle;Liability
Oct;5;Friday;Urban;Friday;Oct;5;44386;Third Party;11;more than 30;more than 30;No;No;none;no change;1994;0;VW;Male;Married;69;Sedan;60000 to 69000;400;1;none;more than 7;External;1 vehicle;All Perils
Aug;3;Thursday;Urban;Tuesday;Aug;4;20;Policy Holder;3;more than 30;more than 30;Yes;No;more than 5;no change;1996;0;Accura;Male;Married;52;Sedan;30000 to 39000;400;2;none;6 years;External;1 vehicle;Collision
Dec;1;Saturday;Urban;Wednesday;Dec;3;34478;Policy Holder;1;more than 30;more than 30;No;No;none;no change;1995;0;Toyota;Male;Married;61;Sedan;20000 to 29000;400;3;1;more than 7;External;3 to 4;Collision
Oct;5;Sunday;Rural;Wednesday;Nov;1;20833;Third Party;2;more than 30;more than 30;No;No;more than 5;4 to 8 years;1995;0;Dodge;Female;Married;70;Sport;30000 to 39000;400;2;1;7 years;External;2 vehicles;Liability
Apr;1;Wednesday;Urban;Wednesday;Apr;1;43356;Policy Holder;8;more than 30;more than 30;No;No;1 to 2;no change;1994;0;Pontiac;Male;Married;52;Sport;20000 to 29000;400;4;2 to 4;7 years;External;1 vehicle;Liability
Sep;3;Friday;Urban;Friday;Sep;3;24197;Policy Holder;9;more than 30;more than 30;No;No;none;no change;1994;0;Mazda;Male;Married;27;Sedan;20000 to 29000;400;4;2 to 4;6 years;External;1 vehicle;Collision
Jul;2;Wednesday;Urban;Wednesday;Jul;2;30984;Policy Holder;2;more than 30;more than 30;No;No;more than 5;4 to 8 years;1994;0;Pontiac;Male;Single;30;Sedan;20000 to 29000;400;3;more than 4;7 years;External;2 vehicles;Collision
Aug;3;Wednesday;Urban;Wednesday;Aug;3;47861;Policy Holder;9;more than 30;more than 30;No;No;1 to 2;4 to 8 years;1995;0;Toyota;Male;Married;55;Sedan;20000 to 29000;400;3;2 to 4;6 years;External;2 vehicles;Collision
Dec;2;Monday;Urban;Tuesday;Feb;2;17502;Third Party;10;more than 30;more than 30;No;No;none;no change;1996;0;Toyota;Male;Married;37;Sedan;20000 to 29000;400;4;none;7 years;External;1 vehicle;All Perils
Jul;5;Sunday;Urban;Friday;Aug;1;29004;Third Party;14;more than 30;more than 30;No;No;more than 5;no change;1994;0;Pontiac;Male;Married;40;Sedan;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Collision
Oct;4;Saturday;Urban;Saturday;Oct;4;24672;Policy Holder;3;more than 30;more than 30;No;No;none;no change;1995;1;Honda;Male;Married;26;Sedan;less than 20000;400;2;2 to 4;6 years;External;1 vehicle;Collision
Mar;4;Thursday;Rural;Friday;Apr;1;33015;Third Party;13;more than 30;more than 30;No;No;3 to 5;no change;1994;0;Mazda;Female;Married;52;Sedan;20000 to 29000;400;3;none;7 years;External;1 vehicle;All Perils
Feb;1;Friday;Urban;Tuesday;Feb;4;31427;Policy Holder;9;more than 30;more than 30;No;No;3 to 5;no change;1994;0;Mazda;Male;Married;74;Sedan;30000 to 39000;400;3;2 to 4;more than 7;External;1 vehicle;Collision
Jul;4;Tuesday;Urban;Wednesday;Nov;4;9738;Policy Holder;2;more than 30;more than 30;No;No;none;no change;1994;0;Toyota;Male;Married;65;Sedan;less than 20000;400;4;none;more than 7;External;1 vehicle;All Perils
Dec;3;Tuesday;Urban;Wednesday;Jan;1;35781;Policy Holder;16;more than 30;more than 30;No;No;none;no change;1996;0;Honda;Male;Married;36;Sport;20000 to 29000;400;3;more than 4;more than 7;External;1 vehicle;Liability
Jan;2;Friday;Rural;Tuesday;Jan;3;22145;Third Party;12;more than 30;more than 30;No;No;more than 5;no change;1994;0;Chevrolet;Male;Married;76;Sedan;30000 to 39000;400;1;1;more than 7;External;1 vehicle;All Perils
May;3;Sunday;Urban;Tuesday;May;3;11404;Policy Holder;3;more than 30;more than 30;No;No;none;no change;1995;0;Pontiac;Male;Single;32;Sport;20000 to 29000;400;1;2 to 4;6 years;External;1 vehicle;Liability
Aug;3;Friday;Urban;Thursday;Aug;4;5643;Policy Holder;10;more than 30;more than 30;No;No;3 to 5;no change;1995;0;Honda;Male;Single;32;Sport;30000 to 39000;400;1;1;7 years;External;1 vehicle;Liability
Apr;4;Wednesday;Urban;Tuesday;May;1;28036;Policy Holder;1;more than 30;more than 30;No;No;none;no change;1994;1;Pontiac;Male;Married;40;Sedan;more than 69000;400;2;1;5 years;External;1 vehicle;All Perils
Aug;2;Saturday;Urban;Wednesday;Aug;3;6758;Policy Holder;9;more than 30;more than 30;No;No;more than 5;4 to 8 years;1994;0;Honda;Male;Single;25;Sport;more than 69000;400;1;none;6 years;External;2 vehicles;Collision
Feb;2;Tuesday;Urban;Thursday;Feb;3;39109;Policy Holder;1;more than 30;more than 30;No;No;none;no change;1996;0;Mazda;Male;Married;29;Sedan;30000 to 39000;400;3;none;7 years;External;5 to 8;Collision
Oct;1;Monday;Urban;Monday;Oct;3;47974;Policy Holder;3;more than 30;more than 30;No;No;more than 5;no change;1994;0;Mazda;Male;Married;62;Sedan;less than 20000;400;4;1;7 years;External;1 vehicle;Collision
Apr;1;Sunday;Urban;Tuesday;Apr;1;19373;Policy Holder;2;more than 30;more than 30;No;No;more than 5;no change;1994;0;Pontiac;Male;Married;62;Sedan;less than 20000;400;2;2 to 4;more than 7;External;1 vehicle;Collision
Mar;5;Thursday;Urban;Thursday;Mar;5;40023;Policy Holder;11;more than 30;more than 30;No;No;none;no change;1994;0;Mazda;Female;Single;27;Sedan;20000 to 29000;400;1;more than 4;5 years;External;1 vehicle;Collision
Apr;3;Thursday;Urban;Thursday;Jun;1;41181;Policy Holder;1;more than 30;more than 30;No;No;none;no change;1996;1;Honda;Male;Married;40;Sedan;30000 to 39000;400;3;2 to 4;more than 7;External;1 vehicle;Collision
May;2;Monday;Urban;Wednesday;Jun;2;32382;Third Party;2;more than 30;more than 30;No;No;1 to 2;no change;1996;0;Pontiac;Male;Married;29;Sport;30000 to 39000;400;2;more than 4;6 years;External;1 vehicle;Liability
Sep;1;Friday;Urban;Tuesday;Sep;2;9623;Policy Holder;10;more than 30;more than 30;No;No;none;no change;1994;1;Mazda;Male;Married;41;Sedan;20000 to 29000;400;3;1;more than 7;External;1 vehicle;All Perils
Oct;3;Thursday;Urban;Monday;Oct;4;17857;Policy Holder;7;more than 30;more than 30;No;No;none;no change;1994;0;Mazda;Male;Married;63;Sport;20000 to 29000;400;4;more than 4;6 years;External;1 vehicle;Liability
Mar;4;Thursday;Urban;Friday;Mar;4;33026;Policy Holder;8;more than 30;more than 30;No;No;1 to 2;no change;1994;0;Toyota;Male;Single;45;Sedan;20000 to 29000;400;4;1;7 years;External;1 vehicle;Collision
Jan;2;Thursday;Rural;Wednesday;Feb;1;10353;Policy Holder;16;more than 30;more than 30;No;No;none;no change;1995;0;Ford;Male;Married;47;Utility;more than 69000;400;1;none;more than 7;External;1 vehicle;Liability
Feb;4;Wednesday;Urban;Tuesday;May;3;20645;Policy Holder;14;more than 30;more than 30;No;No;none;no change;1995;0;Honda;Male;Single;0;Sport;more than 69000;400;3;2 to 4;new;External;1 vehicle;Liability
Jun;2;Monday;Urban;Monday;Jun;2;6773;Policy Holder;16;more than 30;more than 30;No;No;more than 5;no change;1995;0;Pontiac;Female;Single;21;Sedan;less than 20000;400;2;none;4 years;External;1 vehicle;All Perils
Jul;3;Saturday;Urban;Tuesday;Jul;3;39632;Third Party;13;more than 30;more than 30;No;No;none;no change;1996;0;Pontiac;Female;Married;42;Sedan;20000 to 29000;400;2;none;5 years;External;1 vehicle;Collision
Mar;1;Monday;Urban;Tuesday;Mar;2;31228;Policy Holder;3;more than 30;more than 30;No;No;3 to 5;no change;1994;0;Mazda;Female;Married;53;Sedan;more than 69000;700;3;none;more than 7;External;1 vehicle;All Perils
May;1;Sunday;Rural;Tuesday;May;1;21690;Policy Holder;5;more than 30;more than 30;No;No;more than 5;no change;1995;0;Honda;Male;Married;38;Sport;30000 to 39000;400;2;2 to 4;7 years;External;1 vehicle;Liability
Dec;3;Tuesday;Urban;Thursday;Dec;4;34080;Third Party;7;more than 30;more than 30;No;No;1 to 2;no change;1996;0;Pontiac;Male;Married;34;Sedan;20000 to 29000;400;2;none;6 years;External;1 vehicle;Collision
Apr;1;Saturday;Urban;Tuesday;Apr;2;46167;Third Party;7;more than 30;more than 30;No;No;none;no change;1994;0;Accura;Male;Married;33;Sedan;30000 to 39000;400;3;1;6 years;External;1 vehicle;All Perils
May;1;Saturday;Urban;Monday;May;2;34430;Policy Holder;16;more than 30;more than 30;No;No;none;no change;1995;0;Toyota;Male;Married;44;Sport;20000 to 29000;400;3;2 to 4;7 years;External;1 vehicle;Liability
Jul;5;Friday;Urban;Monday;Aug;2;33397;Policy Holder;13;more than 30;more than 30;No;No;none;no change;1995;0;Toyota;Female;Married;39;Sedan;less than 20000;400;1;none;more than 7;External;1 vehicle;Collision
Sep;3;Saturday;Urban;Thursday;Oct;1;11160;Policy Holder;11;more than 30;more than 30;No;No;none;no change;1995;0;Toyota;Male;Married;46;Sport;20000 to 29000;400;2;2 to 4;more than 7;External;1 vehicle;Liability
Feb;1;Saturday;Urban;Monday;Feb;2;25586;Policy Holder;6;more than 30;more than 30;No;No;none;no change;1995;0;Toyota;Male;Married;41;Sedan;20000 to 29000;400;4;1;7 years;External;1 vehicle;All Perils
Aug;5;Wednesday;Urban;Wednesday;Aug;5;37252;Policy Holder;3;more than 30;more than 30;No;No;1 to 2;no change;1994;0;Toyota;Male;Married;45;Sedan;20000 to 29000;400;2;2 to 4;more than 7;External;1 vehicle;Collision
Apr;1;Sunday;Urban;Wednesday;Apr;1;39600;Policy Holder;3;more than 30;more than 30;No;No;3 to 5;no change;1996;0;Accura;Male;Single;53;Sedan;20000 to 29000;400;3;more than 4;7 years;External;1 vehicle;All Perils
Nov;4;Thursday;Urban;Thursday;Nov;4;43592;Policy Holder;2;more than 30;more than 30;No;No;none;no change;1996;0;Toyota;Male;Married;41;Sedan;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Collision
Mar;4;Tuesday;Urban;Tuesday;Mar;4;29347;Policy Holder;7;more than 30;more than 30;No;No;3 to 5;no change;1995;0;Mazda;Male;Married;53;Sport;20000 to 29000;400;2;2 to 4;7 years;External;1 vehicle;Liability
Nov;2;Friday;Urban;Monday;Nov;2;2475;Policy Holder;2;more than 30;more than 30;No;No;more than 5;no change;1996;0;Accura;Male;Married;76;Sedan;30000 to 39000;400;2;1;more than 7;External;1 vehicle;All Perils
Jun;3;Monday;Urban;Monday;Jun;3;24557;Policy Holder;12;more than 30;more than 30;No;No;none;no change;1996;0;Pontiac;Male;Married;45;Sport;less than 20000;400;3;2 to 4;7 years;External;1 vehicle;Liability
Apr;1;Tuesday;Urban;Tuesday;Apr;2;30671;Policy Holder;3;more than 30;more than 30;No;No;none;no change;1994;0;Pontiac;Male;Married;44;Sport;30000 to 39000;400;4;2 to 4;7 years;External;1 vehicle;Liability
Oct;1;Wednesday;Urban;Thursday;Oct;1;4861;Policy Holder;15;more than 30;more than 30;No;No;none;no change;1994;0;Mazda;Female;Single;27;Sedan;30000 to 39000;400;4;none;3 years;External;1 vehicle;Collision
Dec;3;Monday;Urban;Tuesday;Dec;3;33440;Policy Holder;14;more than 30;more than 30;No;No;1 to 2;1 year;1994;0;Mazda;Male;Married;51;Sport;20000 to 29000;400;1;more than 4;more than 7;External;1 vehicle;Liability
Jun;1;Sunday;Urban;Friday;Jun;2;23243;Third Party;8;more than 30;more than 30;No;No;none;no change;1994;0;Toyota;Male;Married;37;Sedan;20000 to 29000;400;2;none;7 years;External;1 vehicle;All Perils
Oct;2;Friday;Urban;Friday;Oct;2;42717;Policy Holder;3;more than 30;more than 30;No;No;3 to 5;4 to 8 years;1995;0;Chevrolet;Male;Married;36;Sport;30000 to 39000;400;2;1;7 years;External;2 vehicles;Liability
Jul;4;Thursday;Urban;Thursday;Aug;1;44455;Policy Holder;15;8 to 15;more than 30;No;No;none;no change;1996;1;Pontiac;Male;Married;38;Utility;40000 to 59000;400;3;2 to 4;more than 7;External;1 vehicle;All Perils
Mar;5;Wednesday;Urban;Tuesday;Apr;1;48887;Third Party;10;more than 30;more than 30;No;No;none;no change;1995;0;Pontiac;Male;Married;38;Sedan;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Collision
Oct;2;Monday;Urban;Tuesday;Oct;2;37478;Third Party;11;more than 30;more than 30;Yes;No;none;no change;1996;0;Chevrolet;Male;Married;65;Sedan;20000 to 29000;400;3;1;more than 7;External;1 vehicle;All Perils
Sep;1;Friday;Urban;Wednesday;Oct;3;20435;Policy Holder;10;more than 30;more than 30;No;No;1 to 2;no change;1994;0;Chevrolet;Male;Married;45;Sedan;40000 to 59000;400;2;1;7 years;External;1 vehicle;Collision
Mar;3;Wednesday;Urban;Monday;Apr;1;34900;Policy Holder;4;more than 30;more than 30;No;No;3 to 5;no change;1995;0;Pontiac;Female;Married;36;Sedan;20000 to 29000;400;2;2 to 4;7 years;External;1 vehicle;All Perils
Dec;3;Friday;Urban;Friday;Dec;4;37546;Third Party;14;more than 30;more than 30;No;No;1 to 2;no change;1994;0;Pontiac;Male;Single;48;Utility;more than 69000;400;3;more than 4;7 years;External;1 vehicle;All Perils
Jul;4;Thursday;Urban;Tuesday;Aug;1;47692;Policy Holder;11;more than 30;more than 30;No;No;none;no change;1994;0;Toyota;Male;Single;33;Sedan;20000 to 29000;400;2;1;6 years;External;1 vehicle;Collision
Aug;3;Wednesday;Urban;Wednesday;Jan;3;10975;Policy Holder;12;more than 30;more than 30;No;No;1 to 2;no change;1994;0;Mazda;Female;Single;23;Sport;20000 to 29000;400;3;more than 4;5 years;External;1 vehicle;Liability
May;2;Wednesday;Rural;Thursday;May;2;22020;Policy Holder;12;more than 30;more than 30;No;No;more than 5;no change;1994;0;Chevrolet;Male;Married;50;Sedan;more than 69000;400;3;1;more than 7;External;1 vehicle;Collision
Sep;2;Tuesday;Urban;Wednesday;Sep;3;6862;Policy Holder;7;more than 30;more than 30;No;No;more than 5;no change;1994;0;Toyota;Male;Married;47;Sport;30000 to 39000;400;1;more than 4;more than 7;External;1 vehicle;Liability
Jan;3;Sunday;Urban;Monday;Jan;5;46281;Policy Holder;4;more than 30;more than 30;No;No;none;no change;1994;0;Accura;Male;Single;45;Utility;more than 69000;400;3;none;7 years;External;1 vehicle;All Perils
Jul;4;Sunday;Rural;Wednesday;Jul;4;43277;Policy Holder;5;more than 30;more than 30;No;No;none;no change;1995;0;Mazda;Male;Single;32;Sport;more than 69000;400;1;2 to 4;6 years;External;1 vehicle;Liability
Jun;3;Sunday;Urban;Monday;Jun;3;20114;Policy Holder;2;more than 30;more than 30;No;No;none;no change;1994;0;Honda;Male;Married;57;Sedan;20000 to 29000;400;2;1;more than 7;External;1 vehicle;Collision
Mar;2;Friday;Urban;Friday;Mar;2;15811;Policy Holder;6;more than 30;more than 30;No;No;1 to 2;no change;1994;0;Ford;Male;Married;64;Sedan;less than 20000;400;4;2 to 4;7 years;External;1 vehicle;All Perils
Jul;4;Tuesday;Urban;Wednesday;Jul;4;39630;Policy Holder;4;more than 30;more than 30;No;No;1 to 2;no change;1995;0;Honda;Male;Married;58;Sedan;30000 to 39000;400;4;1;more than 7;External;1 vehicle;All Perils
Jan;1;Thursday;Urban;Tuesday;Mar;4;3663;Policy Holder;9;more than 30;more than 30;No;No;none;no change;1994;0;Toyota;Male;Married;46;Sport;20000 to 29000;400;4;2 to 4;more than 7;External;1 vehicle;Liability
Mar;2;Wednesday;Urban;Wednesday;Mar;2;23809;Policy Holder;11;more than 30;more than 30;No;No;1 to 2;no change;1994;1;Honda;Male;Married;43;Sedan;30000 to 39000;400;3;1;more than 7;External;1 vehicle;All Perils
Jun;5;Thursday;Urban;Monday;Jul;1;36427;Third Party;11;more than 30;more than 30;No;No;more than 5;no change;1994;0;Toyota;Male;Married;39;Sedan;20000 to 29000;400;3;2 to 4;more than 7;External;1 vehicle;Collision
Sep;1;Sunday;Urban;Wednesday;Sep;4;27374;Third Party;13;more than 30;more than 30;No;No;1 to 2;no change;1995;0;Honda;Male;Single;27;Sport;30000 to 39000;400;2;2 to 4;6 years;External;1 vehicle;Liability
Jun;1;Saturday;Urban;Friday;Jun;2;46440;Policy Holder;10;more than 30;more than 30;No;No;more than 5;no change;1996;1;Chevrolet;Female;Married;35;Sedan;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;All Perils
Oct;5;Saturday;Urban;Wednesday;Nov;1;41924;Policy Holder;8;more than 30;more than 30;No;No;more than 5;no change;1995;0;Honda;Male;Married;54;Sport;more than 69000;400;2;2 to 4;more than 7;External;1 vehicle;Collision
Nov;4;Tuesday;Urban;Wednesday;Nov;4;20502;Policy Holder;14;more than 30;more than 30;No;No;1 to 2;no change;1994;0;Pontiac;Male;Married;35;Sport;20000 to 29000;400;1;2 to 4;6 years;External;1 vehicle;Liability
Nov;1;Thursday;Urban;Thursday;Nov;1;37853;Policy Holder;6;more than 30;more than 30;No;No;3 to 5;no change;1995;0;Honda;Male;Married;51;Sport;more than 69000;400;2;1;more than 7;External;1 vehicle;Liability
Oct;1;Thursday;Urban;Friday;Oct;2;35997;Policy Holder;16;more than 30;more than 30;No;No;more than 5;no change;1996;0;Pontiac;Male;Single;27;Sport;30000 to 39000;400;3;more than 4;7 years;External;1 vehicle;Liability
Dec;4;Sunday;Urban;Tuesday;Dec;4;29803;Third Party;6;more than 30;more than 30;No;No;none;no change;1994;0;Honda;Male;Married;72;Sedan;30000 to 39000;400;1;1;7 years;External;1 vehicle;All Perils
Dec;2;Saturday;Urban;Thursday;Dec;3;10037;Policy Holder;5;more than 30;more than 30;No;No;more than 5;no change;1996;0;Chevrolet;Male;Married;33;Sedan;30000 to 39000;400;2;more than 4;6 years;External;1 vehicle;Collision
Apr;4;Wednesday;Urban;Wednesday;Apr;4;34762;Policy Holder;2;more than 30;more than 30;No;No;none;no change;1995;0;Honda;Male;Married;44;Sedan;20000 to 29000;400;3;2 to 4;more than 7;External;1 vehicle;Collision
Feb;3;Sunday;Urban;Friday;Mar;3;41956;Policy Holder;10;more than 30;more than 30;No;No;none;2 to 3 years;1994;1;Toyota;Male;Single;31;Sedan;20000 to 29000;500;2;none;6 years;External;2 vehicles;All Perils
Aug;5;Thursday;Urban;Wednesday;Sep;1;9959;Policy Holder;8;more than 30;more than 30;No;No;more than 5;no change;1995;0;Mazda;Male;Married;38;Sport;20000 to 29000;400;1;1;6 years;External;1 vehicle;Liability
Apr;3;Wednesday;Urban;Wednesday;Apr;3;33454;Policy Holder;14;more than 30;more than 30;No;No;1 to 2;no change;1994;0;VW;Male;Married;47;Sport;more than 69000;400;2;2 to 4;more than 7;External;1 vehicle;Liability
Apr;1;Saturday;Urban;Wednesday;Apr;1;43695;Policy Holder;12;more than 30;more than 30;No;No;more than 5;no change;1994;0;Pontiac;Male;Married;71;Sedan;20000 to 29000;400;4;2 to 4;7 years;External;1 vehicle;All Perils
Oct;3;Tuesday;Urban;Wednesday;Oct;3;37919;Policy Holder;2;more than 30;more than 30;No;No;more than 5;no change;1995;0;Honda;Male;Married;46;Sport;30000 to 39000;400;1;2 to 4;7 years;External;1 vehicle;Liability
May;3;Thursday;Rural;Monday;May;4;1816;Policy Holder;7;more than 30;more than 30;No;No;1 to 2;no change;1994;0;Toyota;Male;Married;33;Sport;30000 to 39000;400;2;more than 4;6 years;External;1 vehicle;Liability
Nov;5;Tuesday;Urban;Wednesday;Nov;5;47964;Policy Holder;11;more than 30;more than 30;No;No;none;no change;1996;0;Mazda;Female;Single;29;Sport;30000 to 39000;400;3;1;5 years;External;1 vehicle;Liability
Aug;2;Saturday;Urban;Tuesday;Aug;3;26359;Third Party;2;more than 30;more than 30;No;No;3 to 5;no change;1994;0;Pontiac;Male;Single;30;Sedan;20000 to 29000;400;1;none;6 years;External;1 vehicle;All Perils
Jun;3;Thursday;Rural;Monday;Jun;3;13010;Policy Holder;4;more than 30;more than 30;No;No;3 to 5;no change;1994;0;BMW;Male;Single;21;Sedan;30000 to 39000;400;4;none;2 years;External;1 vehicle;Collision
Apr;2;Saturday;Urban;Monday;Apr;2;24482;Third Party;15;more than 30;more than 30;No;No;none;no change;1994;0;Pontiac;Male;Single;22;Sedan;20000 to 29000;400;2;1;3 years;External;1 vehicle;All Perils
